name;cooking_time;description;ingredients;categories
яйцо в хлебе;25;На каждую порцию нам понадобится 2 кусочка тостового хлеба. Я готовлю две порции, поэтому у меня - 4 кусочка. В двух из них я вырежу мякоть в виде квадрата, хотите быть романтичным - сделайте отверстия в хлебе в виде сердечек, или порадуйте детей - вырежьте мякоть какой-то вырубкой с животным или цветочком-грибочком, в общем, проявите фантазию. Вырезать сердцевину хлеба. Два целый куска хлеба выкладываем в форму для запекания, смазанную растительным маслом. Выложить хлеб в форму. На хлеб выкладываем по кусочку тонко нарезанной ветчины или любой колбасы. Положить ломтик колбасы. Сыр твердый натираем на средней терке и посыпаем колбасу. Посыпать сыром. Сверху выкладываем кусочки хлеба с отверстиями, хорошо прижимаем кусочки хлеба к сыру. В процессе запекания сыр расплавится и не даст яйцу вытечь из хлеба. Положить корочку хлеба. Аккуратно вбиваем по одному яйцу в каждое отверстие. Вбить яйцо. Посолим и поперчим яйца. Добавим по половинке помидора черри и отправим яйцо в хлебе в духовку, разогретую до 180 градусов С, на 15 минут, или готовим чуть меньше по времени - пока белок не станет белым, а желток еще останется жидким.;хлеб:4 шт.:False,яйцо:2 шт.:False,ветчина:50 г.:True,сыр:50 г.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,томат:1 шт.:True;завтрак
сырники в духовке;40;Соедините в одной ёмкости творог, муку, сахар, яичные желтки. Готовим тесто для сырников. Перебейте соединённые ингредиенты погружным блендером - у вас должна получится однородная творожная масса без комочков и крупинок. Введите в эту творожную массу взбитые до крепкой пены со щепоткой соли яичные белки. У вас получится пышное творожное тесто для диетических сырников. Выпекаем сырники в силиконовых формочках 25 минут при 180 градусах. Важно готовые сырники оставить в формочках до того момента, пока они полностью остынут, а только потом из извлекать- так сырники будут уверенно держать форму и не опадут.;творог:400 г.:False,яйцо:3 шт.:False,мука:4 ст.л.:False,сахар:2.5 ст.л.:False,соль:щепотка:False,сахарная пудра:для подачи:True;завтрак
суп лохикейтто;45;В кастрюле растопить сливочное масло и бросить туда нарезанный полукольцами порей. Обжаривать, помешивая, 5 минут.Залить водой, добавить лавровый лист, нарезанный средним кубиком картофель, посолить, довести до кипения, накрыть и варить 15 минут на небольшом огне. Добавить сливки и нарезанную крупным кубиком рыбу, варить еще 5 минут после закипания. Посолить и поперчить. Выловить лавровый лист, снять с огня и добавить измельченный укроп.;масло сливочное:40 г.:False,лук-порей:2 шт.:False,вода:1.5 л.:False,картофель:1.5 кг.:False,лавровый лист:1 шт.:True,лосось:500 г.:False,сливки:1 л.:False,укроп:100 г.:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;суп,обед,рыба
суп фасолада;120;Фасоль залить большим количеством холодной воды и оставить на 14–16 часов. Разбухшую фасоль промыть и пересыпать в кастрюлю, залить водой так, чтобы она покрывала фасоль, поставить на огонь и довести до кипения. Снять образовавшуюся пену и слить воду. В той же кастрюле, где варилась фасоль, разогреть оливковое масло, обжарить мелко нарезанный лук до прозрачности, затем добавить крупно нарезанные морковь и сельдерей, обжаривать еще минуту. Добавить фасоль, обжаривать, помешивая, еще 2 минуты, влить пассату, хорошо перемешать. Залить 1,5 литрами горячей воды, накрыть крышкой и варить 1,5 часа на небольшом огне до готовности фасоли. Каждые 30 минут проверять, достаточно ли воды. Суп должен быть густым, но все же супом. Добавить соль и перец по вкусу, поварить еще 15–30 минут до готовности фасоли. Фасолада, как и многие супы, гораздо вкуснее на следующий день.;фасоль:500 г.:False,масло растительное:200 мл.:False,лук репчатый:2 шт.:False,морковь:2 шт.:False,сельдерей:2 шт.:False,томатная паста:500 г.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;суп,обед
рамен;120;Грудинку обсушить от влаги и обжарить на растительном масле со всех сторон до золотистой корочки. Затем в кастрюлю влить 250 мл воды, 80 мл соевого соуса, рисовое вино, добавить 2 столовые ложки сахара, довести до кипения и поместить туда мясо, крупно нарезанные зеленый лук и имбирь. Готовить на низком огне под крышкой в течение часа. Периодически поливать мясо соусом. Разогреть бульон, добавить крупно нарезанный имбирь, зубчики чеснока и анис, поварить 30 минут. Смешать половник горячего бульона с пастой мисо до однородной массы и перелить ее в кастрюлю с бульоном. Туда же добавить соевый соус. Сварить яйца в умеренно кипящей воде в течение 7–8 минут. Лапшу сварить согласно инструкции на упаковке. Собрать суп прямо в тарелке: Налить бульон, положить лапшу, несколько ломтиков мяса, нарезанный кольцами лук, рубленую кинзу, половинки яйца, колечки чили и ростки сои.;свинина:500 г.:False,имбирь:50 г.:True,соевый соус:140 мл.:False,вино рисовое:80 мл.:True,лук зелёный:50 г.:False,чеснок:2 зубчика:True,анис:2 шт.:True,мисо-паста:1 ст.л.:True,лапша:200 г.:False,яйцо:4 шт.:False,ростки сои:150 г.:True,сахар:2 ст.л.:False,кинза:по вкусу:True,бульон куриный:1 л.:False;суп,обед,свинина
суп буйабес;60;Буйабес варится из свежего улова, что поймал — то и сварил. Поэтому рыбная составляющая может меняться, но она всегда должна быть разнообразна. Креветки очистить, панцири не выбрасывать. Вскипятить в кастрюле 1,5 литра воды, положить туда панцири, лавровый лист, цедру и перец. Кипятить на небольшом огне 15 минут. В кастрюле с толстым дном разогреть оливковое масло, обжарить измельченный лук до прозрачности, добавить нарезанный тонкими кольцами порей и нарезанный тонкими ломтиками фенхель, посолить, убавить огонь до минимума, накрыть крышкой и потомить 20 минут. Вновь увеличить огонь под кастрюлей с овощами и добавить к ним измельченный чеснок, жарить, помешивая, минуту-две. Добавить помидоры и вино, варить еще 20 минут. Процедить креветочный бульон и влить его к овощам, добавить тимьян, майоран, шафран и перец, варить еще 10 минут. Положить в суп нарезанную крупными кусочками рыбу, через 2 минуты добавить мидии, еще через 2 минуты положить креветки, варить еще около 2 минут, до готовности креветок. Сразу же подавать.;креветки:300 г.:False,лавровый лист:1 шт.:True,перец чёрный молотый:по вкусу:False,апельсин:1 шт.:False,масло растительное:50 мл.:False,лук репчатый:1 шт.:False,лук-порей:1 шт.:True,фенхель:1 шт.:False,чеснок:2 зубчика:True,томаты консервированные:400 г.:False,вино белое сухое:250 мл.:False,тимьян:веточка:True,майоран:1/2 ч.л.:True,шафран:щепотка:True,морепродукты:1.2 кг.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;суп,обед,рыба
сырный суп;60;Проварить грибы в подсоленной воде 5 мин. Измельчить лук, морковь нарезать полукольцами, картофель - кубиками. Обжарить лук (можно в той кастрюле, где будет вариться суп). Когда лук начнёт золотиться, добавить к нему морковь, обжарить всё вместе пару минут. Когда лук и морковь обменяются ароматами, отправить в кастрюлю лисички. Обжарить всё вместе ещё немного. Добавить картофель. Залить ингредиенты грибным бульоном (в котором варились лисички). Довести до кипения. Натереть на тёрке сыр. Даём супу покипеть минут 10. Солим. Можно добавить любимые специи, например, перец или щепотку мускатного ореха.;лисички:500 г.:False,картофель:2 шт.:False,морковь:1 шт.:False,лук репчатый:1 шт.:False,сыр плавленный:2 шт.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;суп,обед,грибы
томатный суп;20;Как сварить томатный суп-пюре классический из свежих помидоров? Подготовьте указанные продукты. Лучше использовать помидоры мясистых, а не сочных сортов, с плотной мякотью и тонкой кожурой. Томить блюдо рекомендуется на оливковом масле холодного отжима. Дополнить набор ингредиентов можно морковью, сельдереем, кинзой и т.д. Помидоры промойте в воде, выложите в глубокую миску или пиалу, залейте кипятком и оставьте на 3-5 минут в зависимости от величины плодов. После этого резко переместите помидоры в ледяную воду. Благодаря разнице температур кожура с томатов легко счистится. Пока томаты в воде, очистите луковицу, промойте и нарежьте мелким кубиком. Прогрейте оливковое масло в казане или сотейнике с антипригарным дном, пассеруйте в нем луковую нарезку на слабом огне до прозрачности или золотистого цвета, время от времени перемешивая. С выбором идеальной посуды для супа поможет отдельная статья, ссылка в конце рецепта. Очистите помидоры от кожуры, вырежьте из них сердцевинки и нарежьте мелким или средним кубиком. Отправьте помидоры к пассерованной луковой нарезке. Протомите всё на среднем огне, пока томатная нарезка не выпустит сок. Посолите и поперчите по вкусу, добавьте немного горячей воды. Обязательно попробуйте суп на вкус, и, если томаты кисловатые, нивелируйте кислинку сахарным песком. Убавьте нагрев до минимума и потушите блюдо около 10 минут. По желанию можно всыпать сушеные прованские травы, сушеный базилик, орегано и т.д. Выключите огонь и перелейте всю массу в емкость для блендера или в чашу кухонного комбайна. Пюрируйте суп до однородного состояния. Если сначала дать массе остыть, а потом пюрировать ее, то после измельчения суп необходимо будет еще раз прогреть до кипения. Разлейте горячий суп в тарелки или пиалы, присыпьте измельченной свежей зеленью, молотым черным перцем, украсьте лимонным базиликом. Можно подать первое блюдо с сухариками, крутонами или гренками с чесноком.;томат:300 г.:False,лук репчатый:1 шт.:False,масло растительное:20 мл.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,зелень:по вкусу:True,базилик:1 лист:True;суп,обед,овощи
свиная шейка тушеная;40;Куски мяса отправляем на сковороду, жарим до коричневого цвета, добавляем туда порезанный лук, держим около пяти минут. Выкладываем туда же измельченный чеснок, вливаем немного воды и приправляем специями. Прикрываем емкость и готовим 30 минут на медленном огне.;свинина:500 г.:False,чеснок:3 зубчика:False,специи:по вкусу:True,лук репчатый:1 шт.:False;свинина,горячее,ужин,мясное
кордон–блю;40;Кусочки шницеля хорошо отбить, покрыть специями. Сверху выложить немного ветчины и ломтики сыра. Свернуть мясо в рулет, аккуратно обвалять в муке, затем в яйце и сухарях. Обжаривать на сковороде в масле или запекать на 200 градусах в духовке 30 минут.;сухари панировочные:по вкусу:False,мука:30 г.:False,свинина:400 г.:False,сыр:30 г.:False,ветчина:50 г.:False,яйцо:1 шт.:False;свинина,горячее,ужин,мясное
свинина по-китайски;60;Мясо нужно вымыть и освободить от лишних пленок. Нарезать поперек волокон, как на отбивные, кусочки толщиной в 1 см. Немного отбить. Если у вас свиная вырезка ее можно не отбивать. Отбитые куски нарезать соломкой, примерно по полсантиметра. Налить в мясо одну столовую ложку соевого соуса и оставить его постоять. Нарезать остальные овощи такой же соломкой. Если вам нравится имбирь и чеснок - их можно мелко порубить. Если не нравится – нарежьте крупно, чтобы потом выбрать из блюда. Вылить в миску остатки соевого соуса, уксус, сахар, горчицу и половину крахмала. Все перемешать и сюда же добавить воду. Оставшийся крахмал добавить в мясо и тоже хорошо перемешать. Хорошо разогреть большую сковороду (если есть ВОК – хорошо). Добавить пару столовых ложек растительного масла. Добавить морковь и на сильном огне обжарить минуту-полторы. Добавить сладкий и острый перец и обжарить еще полторы минуты. Обжаренные овощи снять со сковороды. Добавить столовую ложку масла и быстро в течение 20-30 секунд обжарить чеснок и имбирь. Если чеснок и имбирь вам не нравятся, после обжарки их можно убрать. Выложить на сковороду мясо и не снижая нагрева обжарить его при постоянном помешивании 3-4 минуты. Добавить к мясу овощи, нагрев уменьшить до среднего и жарить еще 3 минуты. Хорошо размешать готовый соус, чтобы поднялся крахмал и вылить его в сковороду. Прогреть еще пару минут. На этом все. Свинина в кисло-сладком соусе готова.;свинина:400 г.:False,морковь:1 шт.:False,перец сладкий:1 шт.:False,чеснок:зубчик:False,имбирь:по вкусу:True,чили:по желанию:True,соевый соус:4 ст.л.:False,сахар:2 ст.л.:False,уксус:2 ст.л.:False,горчица дижонская:1 ч.л.:False,крахмал картофельный:2 ч.л.:True,вода:80 мл.:False;свинина,горячее,ужин,мясное
